condition,scenario,comp_correct,comp_total,intr_correct,intr_total,completeness
source,S1,3,3,3,4,4
source,S2,2,2,1,1,5
source,S3,4,4,3,3,5
source,S4,2,3,1,2,3
trace,S1,3,3,4,4,5
trace,S2,2,2,1,1,4
trace,S3,4,4,3,3,5
trace,S4,2,3,1,2,3
diagram,S1,3,3,4,4,5
diagram,S2,2,2,1,1,5
diagram,S3,4,4,3,3,5
diagram,S4,3,3,2,2,5
source_trace,S1,3,3,4,4,5
source_trace,S2,2,2,1,1,4
source_trace,S3,4,4,3,3,5
source_trace,S4,2,3,1,2,3
source_trace_diagram,S1,3,3,4,4,5
source_trace_diagram,S2,2,2,1,1,5
source_trace_diagram,S3,4,4,3,3,5
source_trace_diagram,S4,3,3,2,2,5
